"airportName","state","aid","airportCode"
"WASHINGTON EXECUTIVE ARPT HYDE FIELD","Maryland",996,"none"
"LEA COUNTY REGIONAL ARPT","New Mexico",997,"none"
"OTTAWA/MACDONALD-CARTIER INTL","Ontario",998,"none"
"GREAT BENT MUNICIPAL","Kansas",999,"none"
"DELPHI MUNICIPAL ARPT","Indiana",1000,"none"
"CANYONLANDS FIELD","Utah",1001,"none"
"BRAZORIA COUNTY ARPT","Texas",1002,"none"
"VANCE BRAND ARPT","Colorado",1003,"none"
"MARCO POLO INTL","N/A",1004,"none"
"STILLWATER REGIONAL ARPT","Oklahoma",1005,"none"
"BOLIVAR MUNICIPAL ARPT","Missouri",1006,"none"
"JOHNSTOWN-CAMBRIA","Pennsylvania",1007,"none"
"SHOW LOW REGIONAL ARPT","Arizona",1008,"none"
"BALDWIN COUNTY ARPT","Georgia",1009,"none"
"KALAUPAPA ARPT","Hawaii",1010,"none"
"MERCED MUNICIPAL","California",1011,"none"
"NEWTON CITY/COUNTY ARPT","Kansas",1012,"none"
"PELLSTON REGIONAL","Michigan",1013,"none"
"SPRINGDALE MUNICIPAL ARPT","Arkansas",1014,"none"
"BRUNSWICK GOLDEN ISLES","Georgia",1015,"none"
"SHALZ FIELD ARPT","Kansas",1016,"none"
"DILLINGHAM ARPT","Alaska",1017,"none"
"MESQUITE METRO ARPT","Texas",1018,"none"
"FRANK WILEY FIELD ARPT","Montana",1019,"none"
"GILLESPIE FIELD ARPT","California",1020,"none"
"DELAWARE AIRPARK","Delaware",1021,"none"
"VICKSBURG TALLULAH REGIONAL ARPT","Mississippi",1022,"none"
"WARREN FIELD ARPT","North Carolina",1023,"none"
"IXTAPA-ZIHUATENEJO","N/A",1024,"none"
"WAUKESHA COUNTY ARPT","Wisconsin",1025,"none"
"MOUNT AIRY/SURRY COUNTY ARPT","North Carolina",1026,"none"
"GENERAL WM J FOX AIRFIELD","California",1027,"none"
"ROWAN COUNTY ARPT","North Carolina",1028,"none"
"CINCINNATI-BLUE ASH ARPT","Ohio",1029,"none"
"WATERTOWN MUNICIPAL ARPT","Wisconsin",1030,"none"
"CEDAR CITY REGIONAL","Utah",1031,"none"
"POTSDAM MUNICIPAL ARPT","New York",1032,"none"
"AUBURN-OPELIKA RG PITTS","Alabama",1033,"none"
"SCAMMON BAY AIRPORT","Alaska",1034,"none"
"GEORGETOWN MUNICIPAL ARPT","Texas",1035,"none"
"GALEAO INTL (RIO)","N/A",1036,"none"
"SASKATOON/JOHN G. DIEFENBAKER INTL","Saskatchewan",1037,"none"
"SHELL LAKE MUNICIPAL ARPT","Wisconsin",1038,"none"
"DEVILS LAKE REGIONAL ARPT","North Dakota",1039,"none"
"GWINNER-ROGER MELROE FIELD ARPT","North Dakota",1040,"none"
"SIDNEY-RICHLAND MUNICIPAL ARPT","Montana",1041,"none"
"NORTHWEST FLORIDA BEACHES INTL","Florida",1042,"none"
"BOLINDER FIELD - TOOELE VALLEY ARPT","Utah",1043,"none"
"PRINCEVILLE ARPT","Hawaii",1044,"none"
"CHEVRON USA INC SEAPLANE BASE","Louisiana",1045,"none"
"LAWRENCE MUNICIPAL  ARPT (KS)","Kansas",1046,"none"
"TULIP CITY ARPT","Michigan",1047,"none"
"KNOX COUNTY REGIONAL","Maine",1048,"none"
"GEORGE M BRYAN ARPT","Mississippi",1049,"none"
"HARRISON COUNTY ARPT","Texas",1050,"none"
"HAVRE CITY-COUNTY ARPT","Montana",1051,"none"
"YAZOO COUNTY ARPT","Mississippi",1052,"none"
"EAGLE COUNTY REGIONAL","Colorado",1053,"none"
"STENNIS INTL ARPT","Mississippi",1054,"none"
"PAUL C MILLER-SPARTA ARPT","Michigan",1055,"none"
"MC KELLER FLD ARPT","Tennessee",1056,"none"
"PITT-GREENVILLE ARPT","North Carolina",1057,"none"
"DARE COUNTY REGIONAL ARPT","North Carolina",1058,"none"
"SHENZHEN","N/A",1059,"none"
"TRACY MUNICIPAL ARPT","California",1060,"none"
"HARDY-ANDERS FLD NATCHEZ-ADAMS CNTY","Mississippi",1061,"none"
"GLACIER PARK INTL","Montana",1062,"none"
"DUBLIN INTL ARPT","N/A",1063,"none"
"WAUPACA MUNICIPAL ARPT","Wisconsin",1064,"none"
"NORMAN MANLEY INTL","N/A",1065,"none"
"COLUMBIA GORGE REGIONAL ARPT","Oregon",1066,"none"
"VICTORIA INTL","British Columbia",1067,"none"
"CORPUS CHRISTI NAS/TRUAX FIELD","Texas",1068,"none"
"IMMOKALEE REGIONAL ARPT","Florida",1069,"none"
"CHAUTAUQUA COUNTY/JAMESTOWN ARPT","New York",1070,"none"
"ANIAK AIRPORT","Alaska",1071,"none"
"SHANNON INTL","N/A",1072,"none"
"WATERTOWN INTL ARPT","New York",1073,"none"
"GENERAL RAFAEL BUELNA INTL","N/A",1074,"none"
"DAVIS MONTHAN AIR FORCE BASE","Arizona",1075,"none"
"SHERIDAN COUNTY ARPT","Wyoming",1076,"none"
"BASEL-MULHOUSE-FREIBURG","N/A",1077,"none"
"PALMYRA (COOPER) AIRPORT","Prince Edward Island",1078,"none"
"KENTMORR AIRPARK","Maryland",1079,"none"
"EAGLE CREEK AIRPARK","Indiana",1080,"none"
"MALAGA ARPT","N/A",1081,"none"
"GENERAL ROBERTO FIERRO VILLALOBOS INTL","N/A",1082,"none"
"RICHLAND ARPT","Washington",1083,"none"
"ZURICH","N/A",1084,"none"
"GUSTAVO ROJAS PINILLA INTL ARPT","N/A",1085,"none"
"BOB SIKES ARPT","Florida",1086,"none"
"V C BIRD INTL ARPT","N/A",1087,"none"
"BOULDER CITY MUNICIPAL ARPT","Nevada",1088,"none"
"UKIAH MUNICIPAL ARPT","California",1089,"none"
"WEST PLAINS REGIONAL ARPT","Missouri",1090,"none"
"TUNICA MUNI ARPT","Mississippi",1091,"none"
"RAMSTEIN AIR FORCE BASE","N/A",1092,"none"
"THE FLORIDA KEYS MARATHON","Florida",1093,"none"
"NORTH BIG HORN COUNTY ARPT","Wyoming",1094,"none"
"MACKINAC COUNTY ARPT","Michigan",1095,"none"
"HUTCHINSON MUNICIPAL","Kansas",1096,"none"
"DELAWARE MUNICIPAL ARPT","Ohio",1097,"none"
"GALILEO GALILEI ARPT","N/A",1098,"none"
"MEFFORD FIELD ARPT","California",1099,"none"
"CRAWFORDSVILLE MUNI ARPT","Indiana",1100,"none"
"HICKORY REGIONAL ARPT","North Carolina",1101,"none"
"QUINN FIELD ARPT","Nebraska",1102,"none"
"MONTREAL INTL (MIRABEL)","Quebec",1103,"none"
"PORT GRAHAM ARPT","Alaska",1104,"none"
"MARANA REGIONAL ARPT","Arizona",1105,"none"
"MERRIT ISLAND ARPT","Florida",1106,"none"
"GRAYSON COUNTY ARPT","Kentucky",1107,"none"
"LAKE PALOURDE BASE HELIPORT","Louisiana",1108,"none"
"CULPEPER REGIONAL ARPT","Virginia",1109,"none"
"PRINCESS JULIANA","N/A",1110,"none"
