"airportName","state","aid","airportCode"
"JOPLIN REGIONAL","Missouri",177,"none"
"JONESBORO MUNICIPAL ARPT","Arkansas",178,"none"
"HONOLULU INTL ARPT","Hawaii",179,"none"
"EGLIN AFB/NW FLORIDA REGIONAL ARPT","Florida",180,"none"
"SIOUX GATEWAY ARPT","Iowa",181,"none"
"SAN ANTONIO INTL","Texas",182,"none"
"VALLEY INTL","Texas",183,"none"
"JACKSON HOLE","Wyoming",184,"none"
"JOHN WAYNE AIRPORT","California",185,"none"
"DILLINGHAM AIRFIELD","Hawaii",186,"none"
"SHREVEPORT REGIONAL","Louisiana",187,"none"
"MCMINN COUNTY ARPT","Tennessee",188,"none"
"CUYAHOGA COUNTY ARPT","Ohio",189,"none"
"MANCHESTER AIRPORT","New Hampshire",190,"none"
"PORTLAND INTL JETPORT (ME)","Maine",191,"none"
"JEFFERSON CITY MEMORIAL ARPT","Missouri",192,"none"
"NW ARKANSAS REGIONAL","Arkansas",193,"none"
"WICHITA MID-CONTINENT ARPT","Kansas",194,"none"
"TYLER POUNDS FIELD","Texas",195,"none"
"ADDISON","Texas",196,"none"
"OWENSBORO-DAVIESS","Kentucky",197,"none"
"ATLANTIC CITY INTL","New Jersey",198,"none"
"LONG ISLAND MAC ARTHUR","New York",199,"none"
"ELLINGTON FIELD ARPT","Texas",200,"none"
"LANCASTER ARPT (PA)","Pennsylvania",201,"none"
"AQUASCALIENTES","N/A",202,"none"
"NORTHEAST PHILADELPHIA ARPT","Pennsylvania",203,"none"
"LINCOLN MUNICIPAL","Nebraska",204,"none"
"SAN CARLOS ARPT","California",205,"none"
"IGOR I SIKORSKY MEMORIAL","Connecticut",206,"none"
"MORGANTOWN MUNICIPAL ARPT","West Virginia",207,"none"
"SITKA ROCKY GUTIERREZ ARPT","Alaska",208,"none"
"GAINESVILLE REG ARPT","Florida",209,"none"
"TRI-CITIES REGIONAL TN/VA ARPT","Tennessee",210,"none"
"ALLEGHENY COUNTY ARPT","Pennsylvania",211,"none"
"JACKSONVILLE INTL","Florida",212,"none"
"PIERRE REGIONAL ARPT","South Dakota",213,"none"
"NEWPORT NEWS/WILLIAMSBURG INTL","Virginia",214,"none"
"MANLEY HOT SPRINGS ARPT","Alaska",215,"none"
"RICHMOND INTL","Virginia",216,"none"
"KISSIMMEE GATEWAY ARPT","Florida",217,"none"
"VERO BEACH MUNICIPAL","Florida",218,"none"
"WAYNE MUNICIPAL ARPT","Nebraska",219,"none"
"ROCK SPRINGS-SWEETWATER CO","Wyoming",220,"none"
"LA CROSSE MUNICIPAL AIRPORT","Wisconsin",221,"none"
